isNitrate,Wavenumber,Processed
0,257.39,5769
0,261.69,5826
0,265.99,5828
0,270.29,5874
0,274.59,5844
0,278.89,5898
0,283.18,5957
0,287.47,6027
0,291.76,6065
0,296.04,6066
0,300.33,6177
0,304.61,6204
0,308.89,6339
0,313.17,6392
0,317.44,6470
0,321.71,6481
0,325.98,6597
0,330.25,6633
0,334.52,6753
0,338.78,6785
0,343.04,6802
0,347.3,6832
0,351.55,6884
0,355.81,6941
0,360.06,6972
0,364.31,6986
0,368.55,6980
0,372.8,7000
0,377.04,7000
0,381.28,6971
0,385.52,6944
0,389.75,7024
0,393.98,7077
0,398.21,7087
0,402.44,7077
0,406.67,7094
0,410.89,7142
0,415.11,7168
0,419.33,7140
0,423.55,7136
0,427.76,7094
0,431.97,7164
0,436.18,7142
0,440.39,7159
0,444.59,7170
0,448.79,7098
0,452.99,7123
0,457.19,7064
0,461.39,7070
0,465.58,7018
0,469.77,7011
0,473.96,6989
0,478.14,7018
0,482.32,7045
0,486.5,7041
0,490.68,7108
0,494.86,7091
0,499.03,7148
0,503.2,7138
0,507.37,7161
0,511.54,7114
0,515.7,7081
0,519.87,7062
0,524.02,7049
0,528.18,7036
0,532.34,7074
0,536.49,7009
0,540.64,7032
0,544.79,7022
0,548.93,7028
0,553.07,7032
0,557.21,7017
0,561.35,7018
0,565.49,7030
0,569.62,7047
0,573.75,7036
0,577.88,7092
0,582,7117
0,586.13,7140
0,590.25,7117
0,594.37,7165
0,598.48,7115
0,602.6,7161
0,606.71,7176
0,610.82,7123
0,614.93,7058
0,619.03,7061
0,623.13,7009
0,627.23,6996
0,631.33,7007
0,635.42,7028
0,639.52,7064
0,643.61,7000
0,647.69,7022
0,651.78,6994
0,655.86,7110
0,659.94,7083
0,664.02,7100
0,668.1,7062
0,672.17,7079
0,676.24,7113
0,680.31,7072
0,684.37,7070
0,688.44,7056
0,692.5,7003
0,696.56,7046
0,700.61,7004
0,704.67,7001
0,708.72,6988
0,712.77,6954
0,716.81,6973
0,720.86,6931
0,724.9,6981
0,728.94,6981
0,732.98,6982
0,737.01,6963
0,741.04,6990
0,745.07,6999
0,749.1,6967
0,753.12,6992
0,757.15,6923
0,761.17,6984
0,765.18,7016
0,769.2,6907
0,773.21,7003
0,777.22,7026
0,781.23,7007
0,785.23,7089
0,789.24,7083
0,793.24,7064
0,797.24,7108
0,801.23,7092
0,805.23,7068
0,809.22,7130
0,813.2,7138
0,817.19,7146
0,821.17,7185
0,825.15,7208
0,829.13,7189
0,833.11,7203
0,837.08,7161
0,841.05,7157
0,845.02,7147
0,848.99,7142
0,852.95,7167
0,856.92,7160
0,860.88,7075
0,864.83,7109
0,868.79,7116
0,872.74,7127
0,876.69,7146
0,880.63,7111
0,884.58,7173
0,888.52,7136
0,892.46,7184
0,896.4,7218
0,900.33,7222
0,904.27,7237
0,908.2,7229
0,912.12,7214
0,916.05,7191
0,919.97,7191
0,923.89,7184
0,927.81,7210
0,931.72,7193
0,935.64,7239
0,939.55,7214
0,943.45,7250
0,947.36,7311
0,951.26,7318
0,955.16,7355
0,959.06,7364
0,962.96,7432
0,966.85,7382
0,970.74,7445
0,974.63,7438
0,978.52,7451
0,982.4,7526
0,986.28,7492
0,990.16,7508
0,994.04,7542
0,997.91,7565
0,1001.78,7607
0,1005.65,7613
0,1009.52,7621
0,1013.38,7732
0,1017.24,7799
0,1021.1,7833
0,1024.96,7871
0,1028.81,7962
0,1032.66,8085
0,1036.51,8092
0,1040.36,8208
1,1044.2,8222
1,1048.05,8372
1,1051.88,8426
1,1055.72,8513
1,1059.56,8581
1,1063.39,8615
0,1067.22,8702
0,1071.05,8799
0,1074.87,8885
0,1078.69,9048
0,1082.51,9128
0,1086.33,9271
0,1090.14,9420
0,1093.96,9556
0,1097.77,9680
0,1101.57,9872
0,1105.38,9976
0,1109.18,10107
0,1112.98,10261
0,1116.78,10440
0,1120.58,10559
0,1124.37,10690
0,1128.16,10873
0,1131.95,11001
0,1135.73,11187
0,1139.52,11358
0,1143.3,11527
0,1147.07,11753
0,1150.85,12013
0,1154.62,12266
0,1158.39,12419
0,1162.16,12638
0,1165.93,12906
0,1169.69,13063
0,1173.45,13278
0,1177.21,13412
0,1180.97,13593
0,1184.72,13728
0,1188.47,13967
0,1192.22,14075
0,1195.97,14197
0,1199.71,14301
0,1203.45,14547
0,1207.19,14707
0,1210.93,14897
0,1214.66,15092
0,1218.4,15326
0,1222.12,15520
0,1225.85,15768
0,1229.58,16053
0,1233.3,16272
0,1237.02,16475
0,1240.73,16611
0,1244.45,16771
0,1248.16,16841
0,1251.87,16995
0,1255.58,17115
0,1259.28,17302
0,1262.98,17395
0,1266.68,17670
0,1270.38,17831
0,1274.08,18119
0,1277.77,18413
0,1281.46,18806
0,1285.15,19212
0,1288.83,19943
0,1292.52,20579
0,1296.2,21287
0,1299.87,22008
0,1303.55,22777
0,1307.22,23580
0,1310.89,24655
0,1314.56,25383
0,1318.23,26375
0,1321.89,27195
0,1325.55,28053
0,1329.21,28873
0,1332.86,29730
0,1336.52,30546
0,1340.17,31338
0,1343.82,32128
0,1347.46,32909
1,1351.11,33545
1,1354.75,34160
1,1358.39,34841
1,1362.02,35341
1,1365.66,35890
1,1369.29,36277
1,1372.92,36543
1,1376.54,36718
1,1380.17,36722
1,1383.79,36646
1,1387.41,36481
1,1391.02,36149
1,1394.64,35878
1,1398.25,35440
1,1401.86,35118
0,1405.47,34708
0,1409.07,34170
0,1412.67,33751
0,1416.27,33380
